entry,at,order
"""女神异闻录 @ HKXqtOPQ-T"" shows a 3♣, 8♦.",2026-02-15T11:54:43.130Z,177115648313000
"The player ""女神异闻录 @ HKXqtOPQ-T"" changed the ID from vYgaUXvtJ2 to HKXqtOPQ-T because authenticated login.",2026-02-15T11:53:37.649Z,177115641764900
"""Wesley @ 4KT6D07Q4u"" shows a 5♦, 9♦.",2026-02-15T11:10:28.258Z,177115382825800
"""哈哈弟 @ ZFmgLXkPiV"" shows a J♦, A♣.",2026-02-15T11:10:22.839Z,177115382283900
"-- ending hand #358 --",2026-02-15T11:10:21.716Z,177115382171602
"""哈哈弟 @ ZFmgLXkPiV"" collected 40 from pot",2026-02-15T11:10:21.716Z,177115382171601
"Uncalled bet of 2299 returned to ""哈哈弟 @ ZFmgLXkPiV""",2026-02-15T11:10:21.716Z,177115382171600
"""Wesley @ 4KT6D07Q4u"" folds",2026-02-15T11:10:20.897Z,177115382089700
"""哈哈弟 @ ZFmgLXkPiV"" raises to 2319 and go all in",2026-02-15T11:10:18.195Z,177115381819500
"""Wesley @ 4KT6D07Q4u"" calls 20",2026-02-15T11:10:09.285Z,177115380928500
"""女神异闻录 @ vYgaUXvtJ2"" folds",2026-02-15T11:10:08.197Z,177115380819700
"""哈哈弟 @ ZFmgLXkPiV"" posts a big blind of 20",2026-02-15T11:10:02.790Z,177115380279006
"""Wesley @ 4KT6D07Q4u"" posts a small blind of 10",2026-02-15T11:10:02.790Z,177115380279005
"Your hand is 3♣, 8♦",2026-02-15T11:10:02.790Z,177115380279004
"Player stacks: #1 ""Wesley @ 4KT6D07Q4u"" (10789) | #6 ""哈哈弟 @ ZFmgLXkPiV"" (2319) | #9 ""女神异闻录 @ vYgaUXvtJ2"" (39864)",2026-02-15T11:10:02.790Z,177115380279001
"-- starting hand #358 (id: szfa1bmahw8d)  No Limit Texas Hold'em (dealer: ""女神异闻录 @ vYgaUXvtJ2"") --",2026-02-15T11:10:02.790Z,177115380279000
"-- ending hand #357 --",2026-02-15T11:09:56.670Z,177115379667002
"""Wesley @ 4KT6D07Q4u"" collected 50 from pot with Two Pair, 8's & 4's (combination: Q♠, 4♥, 4♣, 8♥, 8♠)",2026-02-15T11:09:56.670Z,177115379667001
"""Wesley @ 4KT6D07Q4u"" shows a 4♥, 8♥.",2026-02-15T11:09:56.670Z,177115379667000
"""哈哈弟 @ ZFmgLXkPiV"" checks",2026-02-15T11:09:55.844Z,177115379584400
"""Wesley @ 4KT6D07Q4u"" checks",2026-02-15T11:09:54.706Z,177115379470600
"River: Q♠, 2♣, J♦, 4♣ [8♠]",2026-02-15T11:09:46.064Z,177115378606400
"""哈哈弟 @ ZFmgLXkPiV"" checks",2026-02-15T11:09:45.236Z,177115378523600
"""Wesley @ 4KT6D07Q4u"" checks",2026-02-15T11:09:38.407Z,177115377840700
"Turn: Q♠, 2♣, J♦ [4♣]",2026-02-15T11:09:37.260Z,177115377726000
"""哈哈弟 @ ZFmgLXkPiV"" checks",2026-02-15T11:09:36.430Z,177115377643000
"""Wesley @ 4KT6D07Q4u"" checks",2026-02-15T11:09:35.307Z,177115377530700
"Flop:  [Q♠, 2♣, J♦]",2026-02-15T11:09:31.320Z,177115377132000
"""Wesley @ 4KT6D07Q4u"" checks",2026-02-15T11:09:30.468Z,177115377046800
"""女神异闻录 @ vYgaUXvtJ2"" folds",2026-02-15T11:09:29.388Z,177115376938800
"""哈哈弟 @ ZFmgLXkPiV"" calls 20",2026-02-15T11:09:18.029Z,177115375802900
"""Wesley @ 4KT6D07Q4u"" posts a big blind of 20",2026-02-15T11:09:16.381Z,177115375638106
"""女神异闻录 @ vYgaUXvtJ2"" posts a small blind of 10",2026-02-15T11:09:16.381Z,177115375638105
"Your hand is 5♠, 9♦",2026-02-15T11:09:16.381Z,177115375638104
"Player stacks: #1 ""Wesley @ 4KT6D07Q4u"" (10759) | #6 ""哈哈弟 @ ZFmgLXkPiV"" (2339) | #9 ""女神异闻录 @ vYgaUXvtJ2"" (39874)",2026-02-15T11:09:16.381Z,177115375638101
"-- starting hand #357 (id: ee12sdnrdkko)  No Limit Texas Hold'em (dealer: ""哈哈弟 @ ZFmgLXkPiV"") --",2026-02-15T11:09:16.381Z,177115375638100
"-- ending hand #356 --",2026-02-15T11:09:13.445Z,177115375344502
"""女神异闻录 @ vYgaUXvtJ2"" collected 300 from pot",2026-02-15T11:09:13.445Z,177115375344501
"Uncalled bet of 150 returned to ""女神异闻录 @ vYgaUXvtJ2""",2026-02-15T11:09:13.445Z,177115375344500
"""哈哈弟 @ ZFmgLXkPiV"" folds",2026-02-15T11:09:12.595Z,177115375259500
"""Wesley @ 4KT6D07Q4u"" folds",2026-02-15T11:09:10.499Z,177115375049900
"""女神异闻录 @ vYgaUXvtJ2"" bets 150",2026-02-15T11:09:08.986Z,177115374898600
"""哈哈弟 @ ZFmgLXkPiV"" checks",2026-02-15T11:08:53.525Z,177115373352500
"Flop:  [5♥, 10♣, J♥]",2026-02-15T11:08:51.692Z,177115373169200
"""哈哈弟 @ ZFmgLXkPiV"" calls 100",2026-02-15T11:08:50.885Z,177115373088500
"""Wesley @ 4KT6D07Q4u"" calls 100",2026-02-15T11:08:49.357Z,177115372935700
"""女神异闻录 @ vYgaUXvtJ2"" raises to 100",2026-02-15T11:08:47.290Z,177115372729000
"""哈哈弟 @ ZFmgLXkPiV"" calls 20",2026-02-15T11:08:27.371Z,177115370737100
"""Wesley @ 4KT6D07Q4u"" calls 20",2026-02-15T11:08:26.218Z,177115370621800
"""女神异闻录 @ vYgaUXvtJ2"" posts a big blind of 20",2026-02-15T11:08:24.746Z,177115370474606
"""哈哈弟 @ ZFmgLXkPiV"" posts a small blind of 10",2026-02-15T11:08:24.746Z,177115370474605
"Your hand is Q♦, J♣",2026-02-15T11:08:24.746Z,177115370474604
"Player stacks: #1 ""Wesley @ 4KT6D07Q4u"" (10859) | #6 ""哈哈弟 @ ZFmgLXkPiV"" (2439) | #9 ""女神异闻录 @ vYgaUXvtJ2"" (39674)",2026-02-15T11:08:24.746Z,177115370474601
"-- starting hand #356 (id: g8efw2hdhmpz)  No Limit Texas Hold'em (dealer: ""Wesley @ 4KT6D07Q4u"") --",2026-02-15T11:08:24.746Z,177115370474600
"-- ending hand #355 --",2026-02-15T11:08:21.817Z,177115370181702
"""Wesley @ 4KT6D07Q4u"" collected 420 from pot",2026-02-15T11:08:21.817Z,177115370181701
"Uncalled bet of 210 returned to ""Wesley @ 4KT6D07Q4u""",2026-02-15T11:08:21.817Z,177115370181700
"""女神异闻录 @ vYgaUXvtJ2"" folds",2026-02-15T11:08:21.011Z,177115370101100
"""Wesley @ 4KT6D07Q4u"" bets 210",2026-02-15T11:08:17.897Z,177115369789700
"Turn: 9♦, 2♦, J♦ [6♥]",2026-02-15T11:08:15.175Z,177115369517500
"""女神异闻录 @ vYgaUXvtJ2"" checks",2026-02-15T11:08:14.370Z,177115369437000
"""Wesley @ 4KT6D07Q4u"" checks",2026-02-15T11:08:10.859Z,177115369085900
"Flop:  [9♦, 2♦, J♦]",2026-02-15T11:08:08.188Z,177115368818800
"""哈哈弟 @ ZFmgLXkPiV"" folds",2026-02-15T11:08:07.380Z,177115368738000
"""Wesley @ 4KT6D07Q4u"" calls 200",2026-02-15T11:08:06.243Z,177115368624300
"""女神异闻录 @ vYgaUXvtJ2"" raises to 200",2026-02-15T11:07:59.910Z,177115367991000
"""哈哈弟 @ ZFmgLXkPiV"" posts a big blind of 20",2026-02-15T11:07:44.219Z,177115366421907
"""Wesley @ 4KT6D07Q4u"" posts a small blind of 10",2026-02-15T11:07:44.219Z,177115366421906
"Your hand is A♠, 10♣",2026-02-15T11:07:44.219Z,177115366421905
"Player stacks: #1 ""Wesley @ 4KT6D07Q4u"" (10639) | #6 ""哈哈弟 @ ZFmgLXkPiV"" (2459) | #9 ""女神异闻录 @ vYgaUXvtJ2"" (39874)",2026-02-15T11:07:44.219Z,177115366421902
"-- starting hand #355 (id: rjhxxzpp08zz)  No Limit Texas Hold'em (dealer: ""女神异闻录 @ vYgaUXvtJ2"") --",2026-02-15T11:07:44.219Z,177115366421901
"The player ""大炮弟 @ 71ayGh_gzu"" quits the game with a stack of 0.",2026-02-15T11:07:44.219Z,177115366421900
"""哈哈弟 @ ZFmgLXkPiV"" shows a K♦, K♥.",2026-02-15T11:07:38.585Z,177115365858500
"-- ending hand #354 --",2026-02-15T11:07:37.714Z,177115365771401
"""女神异闻录 @ vYgaUXvtJ2"" collected 14690 from pot with Flush, A High (combination: 4♠, 6♠, 7♠, 8♠, A♠)",2026-02-15T11:07:37.714Z,177115365771400
"River: 4♠, 7♠, 6♠, 8♠ [Q♥]",2026-02-15T11:07:33.711Z,177115365371100
"""女神异闻录 @ vYgaUXvtJ2"" shows a A♠, J♣.",2026-02-15T11:07:29.665Z,177115364966502
"""大炮弟 @ 71ayGh_gzu"" shows a K♠, 3♠.",2026-02-15T11:07:29.665Z,177115364966501
"Uncalled bet of 8795 returned to ""女神异闻录 @ vYgaUXvtJ2""",2026-02-15T11:07:29.665Z,177115364966500
"Some players choose to not run it twice.",2026-02-15T11:07:28.854Z,177115364885401
"""大炮弟 @ 71ayGh_gzu"" chooses to not run it twice.",2026-02-15T11:07:28.854Z,177115364885400
"""女神异闻录 @ vYgaUXvtJ2"" chooses to  run it twice.",2026-02-15T11:07:28.583Z,177115364858300
"Remaining players decide whether to run it twice.",2026-02-15T11:07:26.450Z,177115364645001
