ledger_pgl9IkgQYMa6sAK3coIHhikp7 (1)
player_nickname,player_id,session_start_at,session_end_at,buy_in,buy_out,stack,net
Qitong,qrks3Lg6bS,2026-02-15T09:58:19.856Z,2026-02-15T10:48:36.241Z,10000,0,0,-10000
parrot,Bx25JER7hJ,2026-02-15T09:56:53.765Z,2026-02-15T10:18:06.869Z,2000,2525,0,525
小姚阿姨,3w343W1v3j,2026-02-15T09:12:36.221Z,,10000,,20981,10981
Qitong,qrks3Lg6bS,2026-02-15T09:12:36.219Z,2026-02-15T09:56:53.762Z,10000,0,0,-10000
大炮弟,71ayGh_gzu,2026-02-15T09:12:09.847Z,2026-02-15T11:07:44.225Z,4000,0,0,-4000
大炮弟,71ayGh_gzu,2026-02-15T08:50:23.845Z,2026-02-15T09:09:38.463Z,2000,0,0,-2000
parrot,Bx25JER7hJ,2026-02-15T08:11:48.099Z,2026-02-15T08:38:39.980Z,2000,1454,0,-546
Qitong,qrks3Lg6bS,2026-02-15T07:25:53.626Z,2026-02-15T09:12:09.842Z,6000,0,0,-6000
parrot,Bx25JER7hJ,2026-02-15T07:22:28.414Z,2026-02-15T08:01:28.353Z,2000,6220,0,4220
Qitong,qrks3Lg6bS,2026-02-15T07:04:16.891Z,2026-02-15T07:23:51.025Z,4000,0,0,-4000
Qitong,qrks3Lg6bS,2026-02-15T06:21:57.477Z,2026-02-15T07:02:25.303Z,4000,0,0,-4000
女神异闻录,vYgaUXvtJ2,2026-02-15T06:21:57.474Z,,4000,,39864,35864
八方来财,JE0z074xBA,2026-02-15T06:19:51.298Z,,2000,,1848,-152
小姚阿姨,3w343W1v3j,2026-02-15T06:14:27.707Z,2026-02-15T09:12:09.838Z,2000,0,0,-2000
Qitong,qrks3Lg6bS,2026-02-15T06:09:24.304Z,2026-02-15T06:21:14.994Z,2000,0,0,-2000
女神异闻录,vYgaUXvtJ2,2026-02-15T06:08:36.951Z,2026-02-15T06:21:14.990Z,2000,0,0,-2000
女神异闻录,vYgaUXvtJ2,2026-02-15T06:02:27.821Z,2026-02-15T06:08:09.726Z,2000,0,0,-2000
大炮弟,71ayGh_gzu,2026-02-15T05:33:23.530Z,2026-02-15T08:40:15.030Z,2000,0,0,-2000
小姚阿姨,3w343W1v3j,2026-02-15T05:31:38.262Z,2026-02-15T06:13:33.847Z,4000,0,0,-4000
哈哈弟,ZFmgLXkPiV,2026-02-15T05:19:24.771Z,,2000,,2339,339
大炮弟,71ayGh_gzu,2026-02-15T05:17:37.964Z,2026-02-15T05:31:38.257Z,2000,0,0,-2000
哈哈弟,ZFmgLXkPiV,2026-02-15T05:17:37.962Z,2026-02-15T05:18:41.923Z,2000,0,0,-2000
小姚阿姨,3w343W1v3j,2026-02-15T05:17:37.960Z,2026-02-15T05:30:48.845Z,2000,0,0,-2000
Wesley,4KT6D07Q4u,2026-02-15T05:17:37.958Z,,2000,,10769,8769
